Value,Disaggregation combinations using this value,Number of indicators
group_label_107,1,1
group_label_108,1,1
group_label_109,1,1
group_label_111,1,1
group_label_114,1,1
group_label_116,1,1
group_label_117,1,1
group_label_119,1,1
group_label_122,1,1
group_label_124,1,1
group_label_125,1,1
group_label_126,1,1
group_label_127,1,1
group_label_128,1,1
group_label_129,1,1
group_label_130,1,1
group_label_131,1,1
group_label_132,1,1
group_label_133,1,1
group_label_134,1,1
group_label_135,1,1
group_label_136,1,1
group_label_137,1,1
