Year,Інфекційні захворювання,Вік,Область,Value
2015,Туберкульоз,до 1 року,,40.2
2016,Туберкульоз,до 1 року,,72.3
2017,Туберкульоз,до 1 року,,83.6
2018,Туберкульоз,до 1 року,,90.1
2019,Туберкульоз,до 1 року,,88.6
2020,Туберкульоз,до 1 року,,88.8
2021,Туберкульоз,до 1 року,,81.8
2022,Туберкульоз,до 1 року,,71.0
2023,Туберкульоз,до 1 року,,83.5
2024,Туберкульоз,до 1 року,,92.8
2015,Гепатит В,до 1 року,,25.7
2016,Гепатит В,до 1 року,,29.2
2017,Гепатит В,до 1 року,,57.0
2018,Гепатит В,до 1 року,,67.0
2019,Гепатит В,до 1 року,,77.0
2020,Гепатит В,до 1 року,,79.8
2021,Гепатит В,до 1 року,,78.8
2022,Гепатит В,до 1 року,,62.4
2023,Гепатит В,до 1 року,,79.2
2024,Гепатит В,до 1 року,,88.0
2015,"Кір, паротит, краснуха",1 рік,,63.7
2016,"Кір, паротит, краснуха",1 рік,,46.1
2017,"Кір, паротит, краснуха",1 рік,,93.3
2018,"Кір, паротит, краснуха",1 рік,,91.0
2019,"Кір, паротит, краснуха",1 рік,,93.2
2020,"Кір, паротит, краснуха",1 рік,,83.3
2021,"Кір, паротит, краснуха",1 рік,,88.5
2022,"Кір, паротит, краснуха",1 рік,,74.1
2023,"Кір, паротит, краснуха",1 рік,,92.4
2024,"Кір, паротит, краснуха",1 рік,,91.4
2015,"Кір, паротит, краснуха",6 років,,62.2
2016,"Кір, паротит, краснуха",6 років,,31.0
2017,"Кір, паротит, краснуха",6 років,,90.7
2018,"Кір, паротит, краснуха",6 років,,89.5
2019,"Кір, паротит, краснуха",6 років,,91.7
2020,"Кір, паротит, краснуха",6 років,,83.4
2021,"Кір, паротит, краснуха",6 років,,86.8
2022,"Кір, паротит, краснуха",6 років,,69.1
2023,"Кір, паротит, краснуха",6 років,,87.3
2024,"Кір, паротит, краснуха",6 років,,83.4
2015,"Дифтерія, правець",до 1 року,,26.8
2016,"Дифтерія, правець",до 1 року,,21.5
2017,"Дифтерія, правець",до 1 року,,53.2
2018,"Дифтерія, правець",до 1 року,,69.3
2019,"Дифтерія, правець",до 1 року,,80.5
2020,"Дифтерія, правець",до 1 року,,80.1
2021,"Дифтерія, правець",до 1 року,,80.0
2022,"Дифтерія, правець",до 1 року,,72.9
2023,"Дифтерія, правець",до 1 року,,83.4
2024,"Дифтерія, правець",до 1 року,,88.3
2015,"Дифтерія, правець",18 місяців,,33.7
2016,"Дифтерія, правець",18 місяців,,23.7
2017,"Дифтерія, правець",18 місяців,,51.2
2018,"Дифтерія, правець",18 місяців,,66.1
2019,"Дифтерія, правець",18 місяців,,80.5
2020,"Дифтерія, правець",18 місяців,,78.1
2021,"Дифтерія, правець",18 місяців,,77.8
2022,"Дифтерія, правець",18 місяців,,71.9
2023,"Дифтерія, правець",18 місяців,,82.7
2024,"Дифтерія, правець",18 місяців,,86.8
