Year,By types of producers,By types of renewable energy generation,Value
2019,electricity_producers,,9.11
2020,electricity_producers,,13.32
2021,electricity_producers,,14.12
2022,electricity_producers,,14.70
2023,electricity_producers,,14.61
2024,electricity_producers,,14.09
2021,consumers_with_own_electrical_installations,,3.02
2022,consumers_with_own_electrical_installations,,3.03
2023,consumers_with_own_electrical_installations,,3.18
2024,consumers_with_own_electrical_installations,,3.66
2019,,solar_power_plants,6.50
2020,,solar_power_plants,10.67
2021,,solar_power_plants,13.64
2022,,solar_power_plants,14.26
2023,,solar_power_plants,13.77
2024,,solar_power_plants,13.96
2019,,wind_power_plants,2.26
2020,,wind_power_plants,2.21
2021,,wind_power_plants,2.97
2022,,wind_power_plants,2.90
2023,,wind_power_plants,3.42
2024,,wind_power_plants,2.87
2019,,micro_mini_small_hydroelectric_plants,0.11
2020,,micro_mini_small_hydroelectric_plants,0.13
2021,,micro_mini_small_hydroelectric_plants,0.13
2022,,micro_mini_small_hydroelectric_plants,0.14
2023,,micro_mini_small_hydroelectric_plants,0.13
2024,,micro_mini_small_hydroelectric_plants,0.12
2019,,biomass,0.13
2020,,biomass,0.14
2021,,biomass,0.21
2022,,biomass,0.22
2023,,biomass,0.27
2024,,biomass,0.32
2019,,biogas,0.11
2020,,biogas,0.17
2021,,biogas,0.19
2022,,biogas,0.21
2023,,biogas,0.20
2024,,biogas,0.22
2019,,geothermal_power_plants,0.00
2020,,geothermal_power_plants,0.00
2021,,geothermal_power_plants,0.00
2022,,geothermal_power_plants,0.00
2023,,geothermal_power_plants,0.00
2024,,geothermal_power_plants,0.00
2023,,other_res,0.00
2024,,other_res,0.26
