Value,Disaggregation combinations using this value,Number of indicators
11_agricul,3,3
11_ext_quar,2,2
12_ext_coal,2,2
12_indu,3,3
13_constr,3,3
13_ext_oil,2,2
14_ext_ores,2,2
14_motor_veh,3,3
15_courier,3,3
15_ext_miner,2,2
16_cater,3,3
16_serv,2,2
17_proc_ind,2,2
17_telecom,3,3
18_insurance,3,3
18_man_food,2,2
19_estate,3,3
19_man_bev,2,2
1_agr_and_rel,2,2
20_man_tobac,2,2
20_scientific,3,3
21_man_text,2,2
21_support,3,3
22_man_cloth,2,2
22_public,1,1
23_educ,3,3
23_man_leather,2,2
24_health,3,3
24_man_wood,2,2
25_arts,3,3
25_man_paper,2,2
26_other_serv,3,3
26_print,2,2
27_man_coke,2,2
28_man_chemic,2,2
29_man_pharmac,2,2
2_indus,2,2
30_man_rubber,2,2
31_man_non_met,2,2
32_man_met,2,2
33_man_equip,2,2
34_man_pc,2,2
35_man_el_equip,2,2
36_not_class,2,2
37_man_motor,2,2
38_man_oth_veh,2,2
39_man_furn,2,2
3_mining,4,2
40_man_oth_prod,2,2
41_repair,2,2
42_suppl_elec,2,2
43_suppl_wat,2,2
44_collec_wat,2,2
45_waste_wat,2,2
46_restor,2,2
47_waste_act,2,2
4_proc_ind,28,2
5_el_gas,2,2
6_water,2,2
7_constr,2,2
8_trans_act,2,2
9_telec,2,2
s_11_indu,2,2
s_12_agri,2,2
s_13_fores,2,2
s_14_transp,2,2
s_15_commun,2,2
s_16_constr,2,2
s_17_trade,2,2
s_18_logis,2,2
s_19_resid,2,2
s_20_care,2,2
s_21_pub_ed,2,2
s_22_oth_sec,2,2
