Disaggregation,Number of indicators,Number of values
Age,20,48
Ammunition,1,4
Article,3,13
by main product groups,2,12
by type of place of registration of service providers,1,2
Cat,1,3
Category,1,4
Cause of death,1,2
Component,1,17
Cost_train,1,4
Decile groups,3,10
Ec_activ,6,74
Farm caregory,1,3
For reference,1,7
Form of rehabilitation assistance,1,2
Fund,1,1
Gender,3,4
Generation,1,7
GHG_ratio,1,2
Group,8,44
Households,8,2
including,2,16
Infectious diseases,2,10
inherit,1,2
Level,1,4
Level_ed,1,6
m_trans,3,15
Mode of transport,2,2
Object,1,10
Organization,1,4
Pollutants,1,10
Products,1,3
Reason of disability,1,2
Region,26,91
Res_inten,1,5
School type,1,3
SES,1,2
Settlement,1,3
Sex of the head of household,2,2
Sex,24,4
Sou_en,1,3
strategy,1,3
Subject,1,3
Type of educational institution,1,4
Type of residence,43,2
Type of water supply,3,2
Type_weapon,1,5
Unit,9,15
Zone,1,3
