Value,Disaggregation combinations using this value,Number of indicators
agriculture_and_production_cooperativ,1,1
agriculture_and_serve_cooperativ,1,1
agriculture_cooperativ,1,1
association,1,1
association_of_trade_unions,1,1
audit_chamber_of_ukraine,1,1
authority_of_advocacy_self-government,1,1
authority_of_judge_self-government,1,1
authority_of_municipality_power,1,1
authority_of_state_power,1,1
authority_of_state_power_organization,1,1
Bgriculture_and_production_cooperativ,1,1
Bgriculture_and_serve_cooperativ,1,1
Bgriculture_cooperativ,1,1
Bssociation,1,1
Bssociation_of_trade_unions,1,1
Budit_chamber_of_ukraine,1,1
Buthority_of_advocacy_self-government,1,1
Buthority_of_judge_self-government,1,1
Buthority_of_municipality_power,1,1
Buthority_of_state_power,1,1
Buthority_of_state_power_organization,1,1
charitable_organisation,2,2
collective_enterprise,2,2
commodity_exchange,2,2
communal_enterprise,2,2
communal_establishment_institution,2,2
community_association_population,2,2
concern,2,2
condominium,2,2
consortium,2,2
consumer_cooperativ,2,2
consumer_partnership,2,2
cooperative,2,2
corporation,2,2
courts,2,2
creative_union_other_professional_organisation,2,2
credit_union,2,2
enterprise_association_of_citizens,2,2
enterprise_founded_by_consumer_partnership,2,2
extended_liability_partnership,2,2
family_enterprise,2,2
farm,2,2
foreign_enterprise,2,2
full_liability_partnership,2,2
garage_cooperativ,2,2
gardening_partnership,2,2
holding_company,2,2
housing_construction_cooperativ,2,2
individual_enterprise,2,2
joint-stock_company,2,2
joint_communal_enterprise,2,2
joint_enterprise,2,2
law_office,2,2
lawyers_union,2,2
limited_liability_partnership,2,2
mixed_liability_company,2,2
non-profit_organisation,2,2
not_state_pension_fund,2,2
organisation_establishment_institution,2,2
organisation_establishment_institution_public_association,2,2
organization_of_customers,2,2
organization_of_employers,2,2
organization_of_tenants,2,2
organization_of_water_users,2,2
other_associations_of_legal_persons,2,2
other_organizational_and_legal_forms,1,1
political_party,2,2
private_enterprise,2,2
private_establishment_institution,2,2
private_joint-stock_partnership,2,2
production_cooperative,2,2
public_enterprise,2,2
public_joint-stock_partnership,2,2
public_union,2,2
religious_organisation,2,2
rental_enterprise,2,2
serve_cooperative,2,2
state-run_enterprise,2,2
state-run_organisation,2,2
state_joint_stock_company,2,2
subsidiary,2,2
trade_union,2,2
trade_union_association_of_trade_unions,2,2
union_of_consumer_partnerships,2,2
