Year,Indicators of energy consumption by households,Value
2015,"share of energy consumption by the household sector in total final energy consumption, percent",32.6
2016,"share of energy consumption by the household sector in total final energy consumption, percent",34.1
2017,"share of energy consumption by the household sector in total final energy consumption, percent",33.0
2018,"share of energy consumption by the household sector in total final energy consumption, percent",31.5
2019,"share of energy consumption by the household sector in total final energy consumption, percent",28.2
2020,"share of energy consumption by the household sector in total final energy consumption, percent",28.5
2021,,
2022,,
2023,,
2024,,
2015,"specific energy consumption of residential buildings, kilowatt-hours per square meter",198.0
2016,"specific energy consumption of residential buildings, kilowatt-hours per square meter",209.0
2017,"specific energy consumption of residential buildings, kilowatt-hours per square meter",195.0
2018,"specific energy consumption of residential buildings, kilowatt-hours per square meter",190.0
2019,"specific energy consumption of residential buildings, kilowatt-hours per square meter",161.0
2020,"specific energy consumption of residential buildings, kilowatt-hours per square meter",156.0
