Year,Age,Sex,Type of residence,Value
2016,,,,52.0
2017,,,,58.6
2018,,,,64.7
2019,,,,74.7
2020,,,,83.2
2021,,,,84.6
2022,,,,86.8
2023,,,,77.0
2024,,,,75.2
2016,,females,,50.5
2017,,females,,59.2
2018,,females,,66.5
2019,,females,,76.4
2020,,females,,85.3
2021,,females,,87.2
2022,,females,,89.5
2023,,females,,77.8
2024,,females,,76.8
2016,,males,,50.1
2017,,males,,58.0
2018,,males,,63.2
2019,,males,,73.1
2020,,males,,81.3
2021,,males,,82.4
2022,,males,,84.6
2023,,males,,76.3
2024,,males,,73.9
2016,,,,94.4
2017,,,,94.5
2018,,,,96.8
2019,,,,98.2
2020,,,,98.5
2021,,,,97.5
2022,,,,99.7
2023,,,,88.5
2024,,,,85.8
2016,age_18,,,49.1
2017,age_18,,,57.7
2018,age_18,,,64.0
2019,age_18,,,74.1
2020,age_18,,,82.8
2021,age_18,,,84.4
2022,age_18,,,86.6
2023,age_18,,,76.8
2024,age_18,,,75.0
2016,,,urban,
2017,,,urban,
2018,,,urban,
2019,,,urban,
2020,,,urban,
2021,,,urban,
2022,,,urban,
2023,,,urban,
2024,,,urban,
2016,,,rural,
2017,,,rural,
2018,,,rural,
2019,,,rural,
2020,,,rural,
2021,,,rural,
2022,,,rural,
2023,,,rural,
2024,,,rural,
2016,,,,
2017,,,,
2018,,,,
2019,,,,
2020,,,,
2021,,,,
2022,,,,
2023,,,,
2024,,,,
