Year,Age,Sex,Value
2015,age_15_64,,9.9
2016,age_15_64,,9.7
2017,age_15_64,,9.4
2018,age_15_64,,9.4
2019,age_15_64,,8.7
2020,age_15_64,,9.0
2021,age_15_64,,9.4
2022,age_15_64,,
2023,age_15_64,,
2024,age_15_64,,
2015,age_15_64,females_1,9.5
2016,age_15_64,females_1,9.2
2017,age_15_64,females_1,8.9
2018,age_15_64,females_1,8.8
2019,age_15_64,females_1,8.1
2020,age_15_64,females_1,8.5
2021,age_15_64,females_1,8.7
2022,age_15_64,females_1,
2023,age_15_64,females_1,
2024,age_15_64,females_1,
2015,age_15_64,males_1,10.3
2016,age_15_64,males_1,10.2
2017,age_15_64,males_1,10.0
2018,age_15_64,males_1,10.0
2019,age_15_64,males_1,9.2
2020,age_15_64,males_1,9.6
2021,age_15_64,males_1,10.1
2022,age_15_64,males_1,
2023,age_15_64,males_1,
2024,age_15_64,males_1,
2015,age_15_24,,55.9
2016,age_15_24,,56.5
2017,age_15_24,,57.6
2018,age_15_24,,59.4
2019,age_15_24,,55.5
2020,age_15_24,,60.0
2021,age_15_24,,62.1
2022,age_15_24,,
2023,age_15_24,,
2024,age_15_24,,
2015,age_15_24,females_1,56.5
2016,age_15_24,females_1,56.3
2017,age_15_24,females_1,57.6
2018,age_15_24,females_1,59.4
2019,age_15_24,females_1,55.2
2020,age_15_24,females_1,60.2
2021,age_15_24,females_1,60.9
2022,age_15_24,females_1,
2023,age_15_24,females_1,
2024,age_15_24,females_1,
2015,age_15_24,males_1,55.3
2016,age_15_24,males_1,56.7
2017,age_15_24,males_1,57.6
2018,age_15_24,males_1,59.4
2019,age_15_24,males_1,55.8
2020,age_15_24,males_1,59.8
2021,age_15_24,males_1,63.1
2022,age_15_24,males_1,
2023,age_15_24,males_1,
2024,age_15_24,males_1,
2015,age_25_64,,0.8
2016,age_25_64,,0.9
2017,age_25_64,,0.8
2018,age_25_64,,0.8
2019,age_25_64,,0.7
2020,age_25_64,,0.5
2021,age_25_64,,0.5
2022,age_25_64,,
2023,age_25_64,,
2024,age_25_64,,
2015,age_25_64,females_1,0.9
2016,age_25_64,females_1,0.9
2017,age_25_64,females_1,0.8
2018,age_25_64,females_1,0.7
2019,age_25_64,females_1,0.7
2020,age_25_64,females_1,0.4
2021,age_25_64,females_1,0.4
2022,age_25_64,females_1,
2023,age_25_64,females_1,
2024,age_25_64,females_1,
2015,age_25_64,males_1,0.7
2016,age_25_64,males_1,0.8
2017,age_25_64,males_1,0.8
2018,age_25_64,males_1,0.9
2019,age_25_64,males_1,0.7
2020,age_25_64,males_1,0.5
2021,age_25_64,males_1,0.5
2022,age_25_64,males_1,
2023,age_25_64,males_1,
2024,age_25_64,males_1,
